FCSFileNames,Sample,Experiment,Tissue,Mouse Number,For_Vlookup,UniqueMouseID,Treatment,Timepoint,Sex,Hh Dose,NTHi Dose,NTHi MET CFUml,Log10(CFUml),Developed OM
EXP3_Spleen_Mouse 1.fcs,CD45_EXP3_Spleen_Mouse 1.fcs,3,Spleen,1,3_1,13,Saline,6,M,NA,NA,NA,NA,NA
EXP3_Spleen_Mouse 2.fcs,CD45_EXP3_Spleen_Mouse 2.fcs,3,Spleen,2,3_2,14,Saline,6,M,NA,NA,NA,NA,NA
EXP3_Spleen_Mouse 3.fcs,CD45_EXP3_Spleen_Mouse 3.fcs,3,Spleen,3,3_3,15,Hh,6,M,7.17E+07,NA,NA,NA,NA
EXP3_Spleen_Mouse 4.fcs,CD45_EXP3_Spleen_Mouse 4.fcs,3,Spleen,4,3_4,16,Hh,6,F,7.17E+07,NA,NA,NA,NA
EXP3_Spleen_Mouse 5.fcs,CD45_EXP3_Spleen_Mouse 5.fcs,3,Spleen,5,3_5,17,Pam10ug,6,M,NA,NA,NA,NA,NA
EXP3_Spleen_Mouse 6.fcs,CD45_EXP3_Spleen_Mouse 6.fcs,3,Spleen,6,3_6,18,Pam10ug,6,F,NA,NA,NA,NA,NA
EXP4_Lung_Mouse 1.fcs,CD45_EXP4_Lung_Mouse 1.fcs,4,Lung,1,4_1,19,Saline,24,M,NA,NA,NA,NA,NA
EXP4_Lung_Mouse 2.fcs,CD45_EXP4_Lung_Mouse 2.fcs,4,Lung,2,4_2,20,Saline,24,M,NA,NA,NA,NA,NA
EXP4_Lung_Mouse 3.fcs,CD45_EXP4_Lung_Mouse 3.fcs,4,Lung,3,4_3,21,Hh,24,M,1.83E+07,NA,NA,NA,NA
EXP4_Lung_Mouse 5.fcs,CD45_EXP4_Lung_Mouse 5.fcs,4,Lung,5,4_5,22,Pam10ug,24,M,NA,NA,NA,NA,NA
EXP4_Lung_Mouse 6.fcs,CD45_EXP4_Lung_Mouse 6.fcs,4,Lung,6,4_6,23,Pam10ug,24,M,NA,NA,NA,NA,NA
EXP4_Nasal Tissue_Mouse 1.fcs,CD45_EXP4_Nasal Tissue_Mouse 1.fcs,4,Nasal Tissue,1,4_1,19,Saline,24,M,NA,NA,NA,NA,NA
EXP4_Nasal Tissue_Mouse 2.fcs,CD45_EXP4_Nasal Tissue_Mouse 2.fcs,4,Nasal Tissue,2,4_2,20,Saline,24,M,NA,NA,NA,NA,NA
EXP4_Nasal Tissue_Mouse 3.fcs,CD45_EXP4_Nasal Tissue_Mouse 3.fcs,4,Nasal Tissue,3,4_3,21,Hh,24,M,1.83E+07,NA,NA,NA,NA
EXP4_Nasal Tissue_Mouse 5.fcs,CD45_EXP4_Nasal Tissue_Mouse 5.fcs,4,Nasal Tissue,5,4_5,22,Pam10ug,24,M,NA,NA,NA,NA,NA
EXP4_Nasal Tissue_Mouse 6.fcs,CD45_EXP4_Nasal Tissue_Mouse 6.fcs,4,Nasal Tissue,6,4_6,23,Pam10ug,24,M,NA,NA,NA,NA,NA
EXP4_Spleen_Mouse 1.fcs,CD45_EXP4_Spleen_Mouse 1.fcs,4,Spleen,1,4_1,19,Saline,24,M,NA,NA,NA,NA,NA
EXP4_Spleen_Mouse 2.fcs,CD45_EXP4_Spleen_Mouse 2.fcs,4,Spleen,2,4_2,20,Saline,24,M,NA,NA,NA,NA,NA
EXP4_Spleen_Mouse 3.fcs,CD45_EXP4_Spleen_Mouse 3.fcs,4,Spleen,3,4_3,21,Hh,24,M,1.83E+07,NA,NA,NA,NA
EXP4_Spleen_Mouse 5.fcs,CD45_EXP4_Spleen_Mouse 5.fcs,4,Spleen,5,4_5,22,Pam10ug,24,M,NA,NA,NA,NA,NA
EXP4_Spleen_Mouse 6.fcs,CD45_EXP4_Spleen_Mouse 6.fcs,4,Spleen,6,4_6,23,Pam10ug,24,M,NA,NA,NA,NA,NA
EXP5_Lung_Mouse 1.fcs,CD45_EXP5_Lung_Mouse 1.fcs,5,Lung,1,5_1,24,Saline,6,F,NA,NA,NA,NA,NA
EXP5_Lung_Mouse 2.fcs,CD45_EXP5_Lung_Mouse 2.fcs,5,Lung,2,5_2,25,Saline,6,F,NA,NA,NA,NA,NA
EXP5_Lung_Mouse 3.fcs,CD45_EXP5_Lung_Mouse 3.fcs,5,Lung,3,5_3,26,Hh,6,F,2.33E+07,NA,NA,NA,NA
EXP5_Lung_Mouse 4.fcs,CD45_EXP5_Lung_Mouse 4.fcs,5,Lung,4,5_4,27,Pam10ug,6,M,NA,NA,NA,NA,NA
EXP5_Lung_Mouse 5.fcs,CD45_EXP5_Lung_Mouse 5.fcs,5,Lung,5,5_5,28,Pam10ug,6,F,NA,NA,NA,NA,NA
EXP5_Nasal Tissue_Mouse 1.fcs,CD45_EXP5_Nasal Tissue_Mouse 1.fcs,5,Nasal Tissue,1,5_1,24,Saline,6,F,NA,NA,NA,NA,NA
EXP5_Nasal Tissue_Mouse 2.fcs,CD45_EXP5_Nasal Tissue_Mouse 2.fcs,5,Nasal Tissue,2,5_2,25,Saline,6,F,NA,NA,NA,NA,NA
EXP5_Nasal Tissue_Mouse 3.fcs,CD45_EXP5_Nasal Tissue_Mouse 3.fcs,5,Nasal Tissue,3,5_3,26,Hh,6,F,2.33E+07,NA,NA,NA,NA
EXP5_Nasal Tissue_Mouse 4.fcs,CD45_EXP5_Nasal Tissue_Mouse 4.fcs,5,Nasal Tissue,4,5_4,27,Pam10ug,6,M,NA,NA,NA,NA,NA
EXP5_Nasal Tissue_Mouse 5.fcs,CD45_EXP5_Nasal Tissue_Mouse 5.fcs,5,Nasal Tissue,5,5_5,28,Pam10ug,6,F,NA,NA,NA,NA,NA
EXP5_Spleen_Mouse 1.fcs,CD45_EXP5_Spleen_Mouse 1.fcs,5,Spleen,1,5_1,24,Saline,6,F,NA,NA,NA,NA,NA
EXP5_Spleen_Mouse 2.fcs,CD45_EXP5_Spleen_Mouse 2.fcs,5,Spleen,2,5_2,25,Saline,6,F,NA,NA,NA,NA,NA
EXP5_Spleen_Mouse 3.fcs,CD45_EXP5_Spleen_Mouse 3.fcs,5,Spleen,3,5_3,26,Hh,6,F,2.33E+07,NA,NA,NA,NA
EXP5_Spleen_Mouse 4.fcs,CD45_EXP5_Spleen_Mouse 4.fcs,5,Spleen,4,5_4,27,Pam10ug,6,M,NA,NA,NA,NA,NA
EXP5_Spleen_Mouse 5.fcs,CD45_EXP5_Spleen_Mouse 5.fcs,5,Spleen,5,5_5,28,Pam10ug,6,F,NA,NA,NA,NA,NA
EXP6_Lung_Mouse 1.fcs,CD45_EXP6_Lung_Mouse 1.fcs,6,Lung,1,6_1,29,Saline,24,F,NA,NA,NA,NA,NA
EXP6_Lung_Mouse 2.fcs,CD45_EXP6_Lung_Mouse 2.fcs,6,Lung,2,6_2,30,Saline,24,F,NA,NA,NA,NA,NA
EXP6_Lung_Mouse 3.fcs,CD45_EXP6_Lung_Mouse 3.fcs,6,Lung,3,6_3,31,Hh,24,F,4.17E+06,NA,NA,NA,NA
