"","Cell_ID","Tissue","Timepoint","Treatment1","Treatment2","ratio","SE","df","null","p.value","significance"
"106","Neutrophils","Nasal Tissue","144","Pam1ug","Pam1ug+IAV+NTHi",1.13685201782615,0.359270845293097,Inf,1,0.985904149039589,""
"107","Neutrophils","Nasal Tissue","144","Pam1ug","Pam1ug+NTHi",1.23714890785795,0.391111353151416,Inf,1,0.985904149039589,""
"108","Neutrophils","Nasal Tissue","144","Pam1ug","Saline",1.52931723815672,0.483010578167565,Inf,1,0.985904149039589,""
"109","Neutrophils","Nasal Tissue","144","Pam1ug","Saline+IAV",1.47018921449552,0.464163693421194,Inf,1,0.985904149039589,""
"110","Neutrophils","Nasal Tissue","144","Pam1ug","Saline+IAV+NTHi",1.44633863971016,0.457086150137744,Inf,1,0.985904149039589,""
"111","Neutrophils","Nasal Tissue","144","Pam1ug","Saline+NTHi",1.62053527784591,0.5119222507357,Inf,1,0.985904149039589,""
"112","Neutrophils","Nasal Tissue","144","Pam1ug+IAV","Pam1ug+IAV+NTHi",1.16432275964054,0.368064552737455,Inf,1,0.985904149039589,""
"113","Neutrophils","Nasal Tissue","144","Pam1ug+IAV","Pam1ug+NTHi",1.26704321045919,0.400684736617745,Inf,1,0.985904149039589,""
"114","Neutrophils","Nasal Tissue","144","Pam1ug+IAV","Saline",1.56627145765315,0.494835103034866,Inf,1,0.985904149039589,""
"115","Neutrophils","Nasal Tissue","144","Pam1ug+IAV","Saline+IAV",1.50571467224766,0.47552678596008,Inf,1,0.985904149039589,""
"116","Neutrophils","Nasal Tissue","144","Pam1ug+IAV","Saline+IAV+NTHi",1.48128777532733,0.468274515484026,Inf,1,0.985904149039589,""
"117","Neutrophils","Nasal Tissue","144","Pam1ug+IAV","Saline+NTHi",1.65969367799015,0.524453734736444,Inf,1,0.985904149039589,""
"118","Neutrophils","Nasal Tissue","144","Pam1ug+IAV+NTHi","Pam1ug+NTHi",1.08822334697843,0.344247569600437,Inf,1,0.985904149039589,""
"119","Neutrophils","Nasal Tissue","144","Pam1ug+IAV+NTHi","Saline",1.34522102628716,0.425135476633966,Inf,1,0.985904149039589,""
"120","Neutrophils","Nasal Tissue","144","Pam1ug+IAV+NTHi","Saline+IAV",1.29321071823118,0.408547078025699,Inf,1,0.985904149039589,""
"121","Neutrophils","Nasal Tissue","144","Pam1ug+IAV+NTHi","Saline+IAV+NTHi",1.2722312288945,0.402317305303619,Inf,1,0.985904149039589,""
"122","Neutrophils","Nasal Tissue","144","Pam1ug+IAV+NTHi","Saline+NTHi",1.42545841713387,0.450582944706919,Inf,1,0.985904149039589,""
"123","Neutrophils","Nasal Tissue","144","Pam1ug+NTHi","Saline",1.23616262233512,0.390812540925059,Inf,1,0.985904149039589,""
"124","Neutrophils","Nasal Tissue","144","Pam1ug+NTHi","Saline+IAV",1.18836884158194,0.375563574043945,Inf,1,0.985904149039589,""
"125","Neutrophils","Nasal Tissue","144","Pam1ug+NTHi","Saline+IAV+NTHi",1.16909018027135,0.369837096825584,Inf,1,0.985904149039589,""
